id,name,latitude,longitude,country_code
n13919227902,شفاخانه افغان سلامت,34.348553,62.208256,AF
n13919238601,شفاخانه بین المللی حبیب یار,34.350552,62.200331,AF
n13919238602,بیمارستان لقمان حکیم,34.35069,62.199329,AF
n13919825002,شفاخانه مهربان,34.364179,62.191864,AF
n13919845201,بیمارستان تخصصی حکیم فاریابی,34.353793,62.195764,AF
n13921836703,شفاخانه ابن سینا حکیم,34.350509,62.207715,AF
n13921837001,شفاخانه آریااپلو,34.350128,62.207502,AF
n14019162501,Hospital,35.555808,67.828359,AF
n14055549901,مرکز تشخیصیه و ایمیجینک طبی حکمت,34.355296,62.20715,AF
w25966581,شفاخانه استقلال,34.488562,69.13627,AF
w26132528,رابعه بلخی روغتون,34.519012,69.177226,AF
w121878839,Sehat-Ama Hospital,34.437726,70.437998,AF
w121880018,Mental Hospital-JAA,34.436322,70.437268,AF
w122372219,Nangarhar Nishtar Kidny Hospital,34.417074,70.430558,AF
w122898375,Jalalabad University Hospital,34.436634,70.446174,AF
w123074497,Jalalabad Medical Faculty,34.427469,70.46758,AF
w124019838,Kama District Hospital,34.446507,70.554881,AF
w127503551,Ploeclinic Markazai & Eye Center,34.514561,69.17234,AF
w131362645,Mental Hospital,34.210901,70.486803,AF
w134725678,Fatima-Tuh-Zohra Hospital,34.437674,70.446583,AF
w134726351,Red Cross Hospital,34.437166,70.43579,AF
w200364379,د داود خان نظامي روغتون,34.541071,69.188832,AF
w200364383,Wazir Akbar Khan hospital,34.539475,69.185731,AF
w303804159,شفاخانه اورتوپدی کابل,34.536919,69.186502,AF
w303804173,شفاخانه رایل,34.53167,69.176227,AF
w346023845,Emergency Health Centre,37.118854,70.571244,AF
w366017288,شفاخانه مدرن امید,34.524107,69.203679,AF
w380556403,Emergency Health Centre,34.235962,70.99133,AF
w386824159,Shahid Fazal Rahman Chamkani Houspital,33.803338,69.818231,AF
w388620882,سيال معالجوي روغتون,31.61229,65.702708,AF
w388628508,د الهادي فرهاد روغتون,31.612886,65.699553,AF
w388657576,Momand Hospital,31.611689,65.685272,AF
w443615847,شفاخانه,33.342388,69.922493,AF
w461340476,Nargasi First AIED Houspital,33.829096,69.877152,AF
w473032503,"Faculty of Medicine, Faculty of Stomatology, Teaching Hospital",31.61589,65.759412,AF
w526295957,کلنیک سقیدسنګ,34.290043,69.147151,AF
w526307259,کلنیګ شفیق الله لودین,34.233889,69.111994,AF
w527506298,Emergency Health Centre,34.31821,69.793493,AF
w529561780,اسداباددولتی روغتون,34.87066,71.150998,AF
w529565355,روغتون,34.876983,71.152079,AF
w530370234,کلنیک محمدآغه,34.204207,69.085572,AF
w559082762,سید کرم روغتون,33.694547,69.381736,AF
w560917509,Emergency Health Centre,34.598424,69.257457,AF
w560978711,ابن سینا روغتون,34.511446,69.166026,AF
w577639525,شفاخانه معالجوی وطن,34.501538,69.081697,AF
w611222192,امیری روغتون,34.534284,69.103669,AF
w613766019,ملالۍ زیږنتون,34.530583,69.161945,AF
w634156324,شفاخانه اوستا,34.539566,69.153682,AF
w669475976,Old Bamyan Hospital,34.829569,67.834688,AF
w699685336,شفاخانه بین المللی کیور,34.473724,69.124188,AF
w710563825,شفاخانه جناح,34.50237,69.098587,AF
w713727067,شفاخانه امرجنسی,34.532698,69.174749,AF
w713802110,شفاخانه مرکزی هرات,34.350249,62.202399,AF
w713905504,شفاخانه جلدی روز,34.55406,69.144524,AF
w732866291,شفاخانه چراغ,34.555127,69.159814,AF
w746908047,Emergency Health Centre,34.536525,69.171655,AF
w749123927,Emergency Health Centre,34.471067,69.085078,AF
w784917719,Lal District Hospital,34.501702,66.282637,AF
w793826704,Emergency Health Centre,34.539649,69.171539,AF
w795878947,Nazo Ana OBGY Clinic,34.541153,69.169025,AF
w810531040,Emergency Health Centre,34.568709,69.177029,AF
w820174740,مرکز رادیولوژی مکه,34.534115,69.135846,AF
w820174743,شفاخانه معالجوی سیتی,34.534052,69.138196,AF
w820174747,گلوبل میدیکال کامپلکس,34.537118,69.142306,AF
w820182567,شفاخانه لقمان حکیم,34.509955,69.126554,AF
w821932671,الحیات,34.546671,69.143467,AF
w827886374,شفاخانه بیست بستر مهدی,34.825409,67.838324,AF
w828078647,Shahidan Clinic,34.806107,67.586081,AF
w828156265,شفاخانه بیست بستر شیخ علی,34.928801,68.454968,AF
w831155979,شفاخانه مرکزی کیشا,34.557052,69.140005,AF
w894548666,Clinic,33.672251,69.450117,AF
w925064260,شفاخانه افشار,34.47577,69.082506,AF
w928106729,د میوند تدریسي روغتون,34.513977,69.17411,AF
w929491018,شفاخانه غظنفر,34.479228,69.066229,AF
w938528334,شفاخانه ابو علی سینا,34.512145,69.124347,AF
w945178872,Habib Dental Clinic & Academy,34.509392,69.234875,AF
w968572467,د پلخمري روغتون,35.938127,68.715926,AF
w972839907,Emergency Health Centre,33.775361,66.713739,AF
w973102628,بست ہسپتال,31.581385,64.355544,AF
w990675535,د اندرا ګاندي ماشومانو روغتون,34.53841,69.186085,AF
w991171093,شفاخانه فرانسوی برای اطفال,34.520253,69.13345,AF
w996350117,Ali Abad Hospital,34.520041,69.129936,AF
w996352654,Emergency Health Centre,34.525565,69.168434,AF
w1011967172,کلينيک,31.616925,65.626323,AF
w1040095230,د ښرنې ملکي روغتون,33.168831,68.784801,AF
w1093343658,Syeed u Shuhada Hospital,34.49907,69.05617,AF
